Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Hendrix Lapierre,20232024,WSH,L,C,51,8,14,22,-1,4,0.43,8,20,0,2,0,0,0,1,51,15.7,11:26,37.5
Alexander Romanov,20232024,NYI,L,D,81,7,15,22,23,20,0.27,7,22,0,0,0,0,0,0,117,6,20:50,--
Kasperi Kapanen,20232024,STL,R,R,73,6,16,22,-5,14,0.3,5,20,0,0,1,2,0,1,99,6.1,14:23,34.2
Kaiden Guhle,20232024,MTL,L,D,70,6,16,22,-8,56,0.31,6,22,0,0,0,0,1,1,95,6.3,20:51,--
Jacob Trouba,20232024,NYR,R,D,69,3,19,22,-4,73,0.32,3,20,0,1,0,1,0,0,129,2.3,21:15,--
Alexey Toropchenko,20232024,STL,L,R,82,14,7,21,-3,30,0.26,12,19,0,0,2,2,0,1,114,12.3,12:31,0
Will Cuylle,20232024,NYR,L,L,81,13,8,21,-3,56,0.26,12,19,1,2,0,0,0,2,119,10.9,11:08,20
Jake Walman,20232024,DET,L,D,63,12,9,21,-2,44,0.33,11,16,1,4,0,1,2,3,108,11.1,19:46,--
Calle Jarnkrok,20232024,TOR,R,C,52,10,11,21,16,18,0.4,9,18,0,1,1,2,1,3,92,10.9,15:16,49.2
Blake Wheeler,20232024,NYR,R,R,54,9,12,21,2,23,0.39,8,20,1,1,0,0,0,1,83,10.8,12:43,61.3
Oskar Sundqvist,20232024,STL,R,C,71,6,15,21,-6,32,0.3,2,13,3,5,1,3,0,0,68,8.8,13:15,41.9
Beck Malenstyn,20232024,WSH,L,L,81,6,15,21,-1,25,0.26,6,20,0,0,0,1,0,1,98,6.1,14:15,45.1
Michael Kesselring,20232024,ARI,R,D,65,5,16,21,11,66,0.32,5,21,0,0,0,0,0,2,76,6.6,15:48,--
Egor Zamula,20232024,PHI,L,D,66,5,16,21,3,32,0.32,3,11,2,9,0,1,0,1,61,8.2,16:03,--
Mario Ferraro,20232024,SJS,L,D,78,3,18,21,-38,36,0.27,3,21,0,0,0,0,0,0,124,2.4,22:52,--
